001972,新巴尔虎右旗,15,
001973,新巴尔虎左旗,15,
001974,陈巴尔虎旗,15,
001980,兴安盟,15,
001984,扎赉特旗,15,
001985,突泉县,15,
001986,阿尔山市,15,
001990,通辽市,15,
001992,霍林郭勒市,15,
001995,开鲁县,15,
001996,库仑县,15,
001997,奈曼旗,15,
001998,扎鲁特旗,15,
002010,锡林郭勒盟,15,
002011,二连浩特市,15,
002013,阿巴嘎旗,15,
002014,苏尼特左旗,15,
002015,苏尼特右旗,15,
002016,东乌珠穆沁旗,15,
002017,西乌珠穆沁旗,15,
002018,太仆寺旗,15,
002019,镶黄旗,15,
002021,正镶白旗,15,
002022,正蓝旗,15,
002023,多伦县,15,
002030,乌兰察布盟,15,
002035,卓资县,15,
002036,化德县,15,
002037,商都县,15,
002038,兴和县,15,
002039,丰镇市,15,
002041,凉城县,15,
002046,四子王旗,15,
002050,鄂尔多斯市,15,
002052,达拉特旗,15,
002053,准格尔旗,15,
002054,鄂托克前旗,15,
002055,鄂托克旗,15,
002056,杭锦旗,15,
002057,乌审旗,15,
002058,伊金霍勒旗,15,
002070,巴彦淖尔盟,15,
002072,五原县,15,
002073,磴口县,15,
002074,乌拉特前旗,15,
002075,乌拉特中旗,15,
002076,乌拉特后旗,15,
002077,杭锦后旗,15,
002080,阿拉善盟,15,
002082,阿右旗,15,
002083,额济纳旗,15,
002210,沈阳,21,
002220,大连市,21,
002222,普兰店市,21,
002223,庄河市,21,
002224,瓦房店市,21,
002225,长海县,21,
002230,鞍山市,21,
002231,台安县,21,
002232,海城市,21,
002240,抚顺市,21,
002241,抚顺县,21,
002242,新宾县,21,
002243,咯左县,21,
002250,本溪市,21,
002251,本溪县,21,
002252,桓仁县,21,
002260,丹东市,21,
002261,凤城市,21,
002262,大石桥市,21,
002263,东港市,21,
002264,宽甸县,21,
002265,岫岩县,21,
002270,锦州市,21,
002271,绥中县,21,
002272,凌海市,21,
002273,北宁市,21,
002274,黑山县,21,
002275,义县,21,
002276,葫芦岛市,21,
002277,兴城市,21,
002280,营口市,21,
002282,盖州市,21,
002290,阜新市,21,
002291,阜新县,21,
002292,彰武县,21,
002310,辽阳市,21,
002311,辽阳县,21,
002312,灯塔市,21,
002320,盘锦市,21,
002321,大洼县,21,
002322,盘山县,21,
002330,铁岭市,21,
002332,西丰县,21,
002333,昌图县,21,
002336,调兵山市,21,
002337,开原市,21,
002340,朝阳市,21,
002342,建平县,21,
002343,凌源市,21,
002344,清原县,21,
002345,建昌县,21,
002346,北票市,21,
002410,长春,22,
002420,吉林市,22,
002421,永吉县,22,
002422,临江市,22,
002423,磐石市,22,
002424,蛟河市,22,
002425,桦甸市,22,
002426,舒兰市,22,
002430,四平市,22,
002431,梨树县,22,
002432,伊通县,22,
002433,双辽市,22,
002434,公主岭市,22,
002440,辽源市,22,
002441,东丰县,22,
002442,东辽县,22,
002450,通化市,22,
002451,通化县,22,
002452,辉南县,22,
002453,柳河县,22,
002454,梅河口市,22,
002455,集安市,22,
002460,白山市,22,
002461,抚松县,22,
002462,靖宇县,22,
002463,长白县,22,
002464,江源县,22,
002470,白城市,22,
002472,洮南市,22,
002473,扶余县,22,
002474,大安市,22,
002475,长岭县,22,
002476,前郭县,22,
002477,镇赉县,22,
002478,通榆县,22,
002479,乾安县,22,
002490,延吉市,22,
002492,图们市,22,
002493,敦化市,22,
002494,珲春市,22,
002495,龙井市,22,
002496,和龙市,22,
002497,汪清县,22,
002498,安图县,22,
002520,松原市,22,
002610,哈尔滨,23,
002640,齐齐哈尔市,23,
